Date,Open,High,Low,Close,Adj Close,Volume
2017-02-06,3264.0,3284.5,3249.0,3262.800049,3184.114746,23318.0
2017-02-07,3270.0,3270.050049,3227.5,3258.75,3180.162354,10165.0
2017-02-08,3269.0,3282.25,3210.0,3223.800049,3146.05542,32991.0
2017-02-09,3273.0,3312.0,3228.0,3264.300049,3185.5786129999997,35943.0
2017-02-10,3265.0,3279.0,3244.0,3266.449951,3187.676514,12390.0
2017-02-13,3266.449951,3272.550049,3211.699951,3226.399902,3148.592285,24461.0
2017-02-14,3233.850098,3233.899902,3146.5,3161.149902,3084.916016,22599.0
2017-02-15,3161.149902,3165.0,3089.100098,3098.399902,3023.6791989999997,19406.0
2017-02-16,3110.0,3158.0,3054.0,3126.100098,3050.7114260000003,19220.0
2017-02-17,3126.100098,3133.0,3074.0,3085.649902,3011.236572,17705.0
2017-02-20,3086.100098,3122.449951,3081.0,3103.0,3028.168457,14864.0
